BATUĞ MUTMAN        1109161866CC*CAAADDEABBCAAEABCBACEBEBEACDCEDEBBECBBCBBAEBECDECCDBEEEBBDBBACEEDADCCCBBECBDCDACADADBEADDBACC                                                                                                                                                           
SEREN KARAKAN       1112803950AEACCABECEBACABADEAEACBCCEBDBECECDDCCCBBCEABCDEAAEECAEDEBBEBADDEEACCCBECBBDBDBEABDBECDDADCBDCDAD                                                                                                                                                           
ATAALP KÖÇER        1116123432BCEBDB* CACACBECBACEDDEDCCCBCBEECEBCEEBECDBECACCECDECAEDEBEBBEBADECCBBDCECCCDDCBDBDADBAAEDBDCDEA                                                                                                                                                           
TAYLAN REMZİ BAYKUŞ 1118655618BCABDBCACAEACBECBABEBADDCBCCCBCDAEBCCEBECDBACAEBECDEAACCEBEBBEBADECCBBDCEBCBDDCBDCDADBEABDBECEAA                                                                                                                                                           
YAKUP CAN TETİK     1138655368BCABDAEACAEAAAECBABEBBDDCBCBCAEDAEBCCEAECDBBCAEBECDECAEDEBEBBEBADECCBBDCEBCCDDCBDEDDDBEABABAAEAA                                                                                                                                                           
LEMİ AKARÇAY        1153940269BCABDAEACAEACBECBABCBBEDBECDCBEDAEBCCEBECDBECAEDECDEEAEEEBCBBEBADECCBBDCEBCBCECBDCDDDCAABEBDEDAD                                                                                                                                                           
MUSTAFA EREN ÖZKUL  1155253406BCABDBEACAEACBBCBABEABEDCBEBCAEDAEBCCEAECCCCCAECECDECAEDEBDBBEBADECCDBDCEBCBCDCBDCDADCDABCBEEDAA                                                                                                                                                           
KOLÇAK YIKILMAZSOY  1167094612BCABDBEACAEACBECBABEBDEDCACBCBECDEBCCEBECDCECAEBECDEEAEDECDBBEBADECCBBDCEBCBCDCBECDADBBABCAEDDBD                                                                                                                                                           
ŞAZİYE KABUKÇU      1191197965BCABDBEACAEACBECBABEBBDDCBBDCAEEAEBDCEAECDCDCAEBECDEAAEDEBEBBEBADECCBBDCEBCBDDCBDCDDDCEABDBECDAD                                                                                                                                                           
ADA ŞEREF           1199607896BCABDAEACAEACBECBABEBBDCCACBCBEDAEBCCEBECDBECAEDECDEEAEAEBEBBEBADECCBBDCEBCBCDCBDCDADBEABDBECDBD                                                                                                                                                           
ŞENAY PİRİŞTİNA     1223253245BCABDBEBCAEACBECBABEBBEDDBEBABEEAEBCCEBECDBECACCECDEAECCEBEBBEBADECCBDDCDCCCDDCBDCDDDEEAEEBEEDBA                                                                                                                                                           
ALMİNA AVCI ÖZSOY   1229302570BCAAAAEACAEACBECBABEBBCDCCCBCBEDAEBCCEBECDBECAEBECDEEAECDBEBBEBADECCBBDCEACBDDABDDDADBEABDBECDBD                                                                                                                                                           
ŞENİZ GEBOLOĞLU     1233216080BBDBDAEAEAEACBECBABEBBEDCBCCCBEDAEBCCEEECDBDCAECECDDAAECEBEBBEBADECCBBDCEBCBCDCBDCDADBEABEBECDAD                                                                                                                                                           
ÖRGÜN GÖKHAN        1235535764BCABDAEBCAEACBECBABEBBEDCBCBCAEDAEBCCEBECDBECAEBECDEEAECCBEBBEBADECCBBDCEBCBCDCBDBDADBEABEBECDBD                                                                                                                                                           
AHMET SENCER EMİKOĞL1252565717CCBCAECADEABCCAAEABCCECEBEBEACDCEDEBDDCBECBBAEECCDEACECEEEBBEBBACEDDBDCCBBBECBDCDBCDDADBEABDEBCD                                                                                                                                                           
FURKAN HIZARCIOĞLU  1273754834CCBCDBBADEEBCCAAEABCBECEBEBBACDCEDDBDCCEBEBBAECECDEABBAEEEBBEBBACEDDBCCCCABECBACABCDDDDCDBBEEBCD                                                                                                                                                           
FATMA ÖZLEM ACAR    1286976612CCBCAEBBDEABCCAAEABCBECEBEBBACDCEDECDDCBBCBBAEBECDEAECCEEEBBEBBACEDDBBCCBBBECBDCACCDDBDBEABDDBCD                                                                                                                                                           
FAZIL EREM BATUK    1292110446CCBCCEBADEEBCEAADACECDCEAEBBDBADAABDDECABCBDBECECDEABDCEEEBDEBBACEDADACCBBBECBCCAAADDADEEAAEDBCD                                                                                                                                                           
FİRUZ SU            1298877390CCBCAEBADEABCCAAEABCBECEBEBEACDCECDBDDCBACBAAEBECDEAECCEEEBBEBBACEDDBCCCBBBECBDCACCDDADBEABEDBCD                                                                                                                                                           
ALİ ALP TERCAN      1353353450CCAADEBADEABCCAABACCDECEBEBECCDBEDEACCCEACBBAEBCCDEAECCEEEBBEBBACEDDBCCCBBEECBEADACDDADBEABDEBCD                                                                                                                                                           
SELMA KULOĞLU       1366832629CCBCCEBBDEABCCADBABCCECEAEBEAADCECDBDCCDBCBAAEBCCDEACCCEEEBBDBBACEDDBDCCBBBECBDBDBCDDADDEABEEBCD                                                                                                                                                           
SAMED EREK          1381878446CCBCAEDADEAECCAACAEECBCEBEBEDCEBEDEDBECDBCDBADAECBDACDCEEEBBDCBACEDDBCCCBBEECBDCCECDDADDBADDEBCD                                                                                                                                                           
CANTEKİN ERTEN      1383770343CCBCCEBBDEABCCAAEABCBDCEBEBEACDCEDEEDDCABCBBAEBECDEBECCEEEACDBBACEDABCCCABBDBBDADEADDADBEABAEBCC                                                                                                                                                           
GİRAY ÖZGÜMÜŞ       1415600930CCBBDEBADEABCCAABBBCCECEBEBEACDCEDEBDECBBEECAEAECDEAADCEEEBBEBBACEDDADCCBEBEABDCAECDDADBEABDEBCD                                                                                                                                                           
MUSTAFA BURHAN ASKIN1439816905CCCCAEBADEDBCEAAEABDCECEAEBEABDCDDE CECDBCBBAAEECBDDBDCEBDBCCBBACEDDBDECCBBCCBDCDAADDEDCEABDDEEB                                                                                                                                                           
MİNA SEL            1449543402DCBCAAEAECACDAABCBABEBDCCCCBAECBEABCDBCCEBEEBCACEEBCDDAEDECADBBEBECBBDDCCCCBCBDDBEADBBEDCDCBDCDE                                                                                                                                                           
FERDACAN ARUCA      1478767131CCBCDEBADEABCCAAEACCBECEAEBEACDCBDBBDDCBBABBAEBECDEAECCEEEBBEBBACEDDBCCCBBBECCDCDACDBDDDBABEDBCD                                                                                                                                                           
AYDIN MERT ÇELEBİCAN1491475751DDACCBEAECABEACBCBABEBDACACBACBAEDBCDBCCEBEDBCAEEEECDEAEEEBADBBEBECBBEDCCBCBCBDDDEAAABDECDCBDCDA                                                                                                                                                           
SALİHA CANAN DIVARCI1577835390ADACCABECBEACEBABEBEAECDCEBDBCCDBEECAAACCECACDECAAECAEBEBEECADCEECCCCBECBBDBDBEADDBECDAADCBEADAD                                                                                                                                                           
GÜNAN GÜRAL         1579935153BCABDAEACAEACBECBABEBBEDCBEBCBEDAEBCEEAECDBECAEBECDEEAEDECDBBEBADECCBBDCEBCBCDCBCCDDDBEAEEBECDAD                                                                                                                                                           
CEYHUN KADİR KARAMOL1646434254BCABDBEACAEACBECBABEBADDCBCBCBEDAEBCCEDECDBECAEBECDEEAECEBEBBEBADECCEBDCEBCBDDCBDCDADCBABDBECDAE                                                                                                                                                           
YAPRAK BURAL        1649631668AEACCABECBBACABADEAEAEBCCEADEECECCDCECBBCEDBCDECBDECAEBEBBEBADCEEDDCCBECBBDBCBEABCBEBDDBDCBDCDAD                                                                                                                                                           
ÇİSİL OKUMUŞ        1653338109AEAAAABECBBACABADEAEAEBCCEBDBECCBDDCBCBACECBCDEEACECAEBEBBEBADCEEBECCBECBBDBCBEADCBECDDBDCBECDDD                                                                                                                                                           
MÜKERREM ZEYNEP AĞCA1664512234AEACCABECBBACABBDEAEAEBCCEBDCECEBDECACBACEDBCDEEAEECAEAEBBEBADCEEBECCCECBBDBCBBABCBDCEAADC DBDAD                                                                                                                                                           
BAHAR ÖZLEM ALBAŞ   1677628507AEACCABECBCACDBBDEAEAEBCCEADBECDDEBCBCBACEDBCBEEACECAECEBBEDADCEEBDCCCECBBDBDCDABCBEEDDBDCBBBDDD                                                                                                                                                           
VOLKAN ÜSTBAŞ       1694805071AEACCABECBBACABADEBEAEBCCEADBECCBDDCBCBACEDACDEEACECAEBEBBEBADCEEBECCAECBBDBCBEABEBECDDADCBDCDAD                                                                                                                                                           
